DP (Pa); Flow (slm)
0;0
0.15;1.1
0.32;2.1
0.54;3.2
0.79;4.3
1.07;5.4
1.39;6.4
1.75;7.5
2.13;8.6
2.52;9.7
2.93;10.7
4.08;12.9
5.32;15
6.65;17.2
8.09;19.3
9.65;21.5
11.35;23.6
13.18;25.8
15.15;27.9
17.26;30.1
19.51;32.2
21.92;34.3
24.43;36.5
27.07;38.6
29.84;40.8
32.71;42.9
35.7;45.1
38.76;47.2
41.94;49.4
45.21;51.5
48.59;53.7
52.06;55.8
55.62;58
59.24;60.1
62.92;62.2
66.67;64.4
70.48;66.5
74.38;68.7
78.35;70.8
82.38;73
86.52;75.1
97.57;80.5
109.38;85.9
121.82;91.2
134.98;96.6
148.59;102
162.57;107.3
183.3;115.1
197.59;120.3
212.03;125.6
226.9;130.8
242.51;136
258.42;141.3
274.74;146.5
304.68;155.6
322.5;161
340.83;166.3
359.43;171.7
378.05;177.1
397.91;182.4
419.05;187.8
439.32;193.2
461.5;198.5
484.33;203.9
507.99;209.3